Location,Capacity (MWh),Capacity (MW),Battery Modules,Integrator,Application,Installation,Enclosure Type,Event Date,System Age (yr),Cause,Extent of Damage,State during Accident,Description,Source,Additional Resources,Other Notes,"Custom location (Lat, Lon)",Root Cause,Failed Element,Source URL 1,Source URL 2,Source URL 3
"US, CA, Valley Center",560.0,140.0,LG Energy Solution,Terra-Gen,,Rural,Container,18/09/2023,1.6,,Damage to single container,Operational,"Fire in one of the containers. This is the 2nd event that this system has experienced, the [https://storagewiki.epri.com/index.php/Failure_Event_-_US,_CA,_Valley_Center_-_5_Apr_2022 first event was on April 5, 2022]",Valley Road Runner,[https://www.energy-storage.news/terra-gen-to-investigate-cause-of-valley-center-battery-storage-fire-with-incident-over Energy Storage News]<br>[https://www.nbcsandiego.com/videos/a-valley-center-battery-storage-facility-caught-fire/3309108 7 San Diego],,"33.227169, -117.017836",,,,,
"Australia, Queensland, Bouldercombe",100.0,50.0,Tesla,Tesla,,Substation,Integrated products,26/09/2023,0.1,,"Single container on fire, possible damage to surrounding containers",Operational,,ABC News,[https://www.theguardian.com/australia-news/2023/sep/27/tesla-lithium-battery-fire-bouldercombe-energy-storage-site-project-rockhampton The Guardian]<br>[https://insideevs.com/news/688894/tesla-megapack-battery-fire-queensland-australia Inside EVs],,"-23.537021, 150.488134","Integration, Construction, or Assembly",Balance of plant,,,
"France, Martinique, Saint-Esprit",,,,,Solar Integration,Farm,Container,29/09/2023,,,Explosion,Operational,The explosion blew out windows from nearby residential homes and led to an evacuation. Water was used to reduce toxic air emissions and the fire was suppressed with powder and foam within 3 hours. ,DayFR Euro,[https://la1ere.francetvinfo.fr/martinique/incendie-sur-un-site-avicole-du-saint-esprit-en-martinique-plus-d-1-million-d-euros-de-pertes-estimees-1432271.html La 1ere]<br>[https://rci.fm/martinique/infos/Faits-divers/VIDEO-Explosion-et-incendie-important-sur-une-exploitation-agricole-au-Saint RCI],,"14.559042091202178, -60.92057867152683",,,,,
"USA, ID, Melba",8.0,2.0,Powin Energy,Powin Energy,Distribution Resource,Substation,Integrated products,02/10/2023,0.0,,Several stacks appeared to be burnt,Pre-commissioning,"Battery fire at the substation was reported, leading to road closures. The fire was contained and allowed to burn out over 3 days, and air quality testing was conducted by the county. The substation remained operational through the fire.",KTVB7,[https://www.newsdata.com/clearing_up/briefs/idaho-powers-2-mw-battery-system-catches-fire-at-substation/article_0c8ad540-646d-11ee-932c-8fede7705d0a.html NewsData] <br> [https://www.kivitv.com/news/battery-fire-at-idaho-power-substation-south-of-melba-continues-to-burn-through-tuesday-night KIVI-TV] ,,"43.372216, -116.560930",Design,Balance of Plant,,,
"Taiwan, Lanyu",,1.1,,,,Power Plant,Container,28/12/2023,,,,Operational,"A battery cabinet outside the Lanyu Power Plant caught fire. The cause is suspected to be a short circuit that occurred during a grid connection test. The plant's operation was not affected, and the fire was controlled and suppressed after a day.
",United Daily News,,,,,,,,
"USA, CA, San Diego",250.0,250.0,LG Chem,"LS Power, NEC Energy Solutions",Energy shifting,,Indoor,15/05/2024,3.7,,,,"The Gateway Energy Storage Facility was involved in a fire, and water was pumped into the building's fire suppression system to extinguish it. A 600-foot safety barrier was maintained for over 22 hours due to air monitors showing high levels of hydrogen. A drone and unmanned robot were been used to monitor the fire, measure air quality and take temperature readings, and firefighters opened the building once heat was no longer detected. A shelter in place order and an evacuation warning were sent out as a precaution. The fire was declared extinguished the next day, but reignited several times until the fire department left the scene nearly 17 days later. ",The San Diego Union-Tribune,[https://www.greentechmedia.com/articles/read/ls-power-energizes-worlds-biggest-battery-near-san-diego-just-in-time-for-heatwave Greentech Media]<br>[https://www.sandiegouniontribune.com/news/public-safety/story/2024-05-18/battery-fire-at-storage-facility-in-otay-mesa-keeps-reigniting The San Diego Tribune: Reignition]<br>[https://www.sandiegouniontribune.com/2024/06/20/fire-in-otay-mesa-puts-battery-storage-projects-under-scrutiny/ The San Diego Tribune: Incident Summary],,,,,,,
"Japan, Kagoshima, Isa",,,,,Solar Integration,,,27/03/2024,,,,,"The BESS of a solar+storage plant caught fire. The BESS was co-located with the 1200 kW Takayanagi Solar Power Plant, Unit 6. Firefighters checked the temperature and opened the door to the building, and an explosion occurred when they tried to use the smoke exhaust system. Four firefighters were injured. The fire was extinguished the next day.",FNN,,,,,,,,
"US, CA, Santa Ana",,,,,Industrial,,,17/07/2024,,,,,"A BESS fire occurred in an industrial area, leading to a 1 hour evacuation in the area due to smoke. ",OC Register,,,,,,,,
"US, CA, Escondido",120.0,30.0,, AES Energy Storage,,Substation,Container,05/09/2024,7.6,,,Under maintenance,"One of 24 containers caught fire. Businesses adjacent to the substation or within approximately 0.25 mi were evacuated. A shelter-in-place order was issued for locations farther east. Classes were cancelled at some nearby schools. The fire started at noon on September 5, and was extinguished by 1 AM on September 6. Air quality and water runoff reports were made publicly available after the incident, and found that all readings taken were well below acceptable exposure limits and considered expected readings during a routine structure fire.",San Diego Union Tribune,[https://www.energy-storage.news/sdge-and-aes-complete-worlds-largest-lithium-ion-battery-facility/ Energy Storage News]<br>[https://www.escondido.gov/CivicAlerts.aspx?AID=96 Air quality and water runoff reports],,,,,,,
Singapore,,,,,UPS,Data center,,10/09/2024,,,Significant disruption to servers. Minor structural damage. No injuries.,,"An explosion and fire occurred in a lithium ion BESS at a data center owned by Digital Realty. The BESS was located in the battery rooms on the third floor. Four water jets and the sprinkler system were used to contain the fire, and an unmanned firefighting robot was used to cool the batteries. The fire was declared to be under control after 2 days. ",DCD,The Star,,,,,,,
"South Africa, Table Mountain",,,,,Backup energy resource,Indoor,,25/10/2024,,,Building damage.,,A lithium ion battery system intended as back up energy for cable car operation caught fire. The system was inside a parking garage and was contained within 4 hours.,Green Building Africa,Business Live,,,,,,,
"US, CA, Moss Landing",1200.0,300.0,LG Energy Solution,Fluence,Solar Integration,Power Plant,Building,16/01/2025,4.1,,80% of batteries were burnt.,,"A fire broke out in Vistra's 300 MW / 1200 MWh Phase I BESS plant. Firefighters are using a ""monitor and contain"" approach and allowing the fire to burn itself out. The police issued evacuation orders and closed two nearby roads and a highway, and the local school district closed all schools for one day. The US EPA, the Monterey Bay Air Resources District, and Vistra monitored air quality in and around the fire perimeter and across Monterey County, and found that levels of Hydrogen Fluoride (HF) remained below acute Reference Exposure Level thresholds. Moss Landing Marine Laboratories found elevated levels of nickel, cobalt, and manganese in soil samples at concentrations roughly 100 to 1,000 times higher than normal. 
The Moss Landing site is home to two separately owned BESS systems: PG&E's Elkhorn system, and Vistra's Moss Landing systems (Phase I, II, and III). The Phase I Vistra system experienced an incident in 2021 and came back online in 2022. ",Mercury News,[NBC https://www.nbcbayarea.com/news/local/battery-facility-industry-storage-discussions/3784945/]<br>[https://www.mercurynews.com/2025/01/27/moss-landing-battery-fire-unusually-high-concentrations-of-toxic-metals-found-in-wetlands-near-plant/?campaign=sjmnbreakingnews&utm_email=F5D3E48C25E3744884A1B597AB&active=no&lctg=F5D3E48C25E3744884A1B597AB&utm_source=listrak&utm_medium=email&utm_term=https%3a%2f%2fwww.mercurynews.com%2f2025%2f01%2f27%2fmoss-landing-battery-fire-unusually-high-concentrations-of-toxic-metals-found-in-wetlands-near-plant%2f&utm_campaign=bang-the_mercury_news-breaking_news_alerts-nl&utm_content=alert Mercury News]<br>[https://www.readymontereycounty.org/emergency/2025-moss-landing-vistra-power-plant-fire Monterey County],,"36.807910, -121.781657",,,https://www.cpuc.ca.gov/news-and-updates/news/2025/03/new-oversight-rules-for-bess-following-moss-landing-fire,https://www.co.monterey.ca.us/government/board-of-supervisors/meetings/2025/03-17-special-session-moss-landing-battery-fire,https://www.kron4.com/news/lawsuit-filed-over-moss-landing-power-plant-fire/
"Canada, ON, Brantford",,,,Aypa Power,Peak Shaving,Commercial,Container,12/09/2024,3.0,,One container burned. ,,"A single 40 ft container BESS caught fire. The container was located on the property of a bakery, and the fire did not disrupt the bakery's operations. Firewater runoff from the site impacted a retention pond and a nearby creek. The Ministry of Environment stated that “the gate at the outfall of the pond was immediately closed, containing the majority of the firewater to the pond. Impacts to the creek are minimal and are not expected to cause adverse effects.” Cleanup of the pond and disposal of the firewater was to be conducted in accordance with the Environmental Protection Act.",CTV News,[https://www.otisspunkmeyer.com/sites/default/files/2023-11/Aspire_Bakeries_Sustainability-Report-2022_Final.pdf Aspire Bakeries Sustainability Report],,,,,,,
"US, CA, Kearny Mesa",80.0,20.0,LFP,Fluence,,Substation,Integrated products,29/04/2024,2.1,,,,"A safety incident occurred at the Kearny South Energy Storage Facility. The 20 MW / 80 MWh Kearny system consists of the Kearny North Energy Storage Facility and Kearny South Energy Storage Facility, both located at the same substation. ",CPUC Draft Resolution ESRB-13,[https://www.energy-storage.news/california-sdge-turns-first-lfp-bess-online-stanford-hits-100-renewables-with-goldman-sachs-project-offtake/ Energy Storage News]<br>[https://www.sdgetoday.com/news/kearny-energy-storage-project-moves-forward SDGE Today],,,,,,,
"England, Essex, Tilbury",600.0,300.0,,,"Frequency Regulation, Capacity Market, Balancing Mechanism, Wholesale Power Markets",Substation,Container,19/02/2025,0.0,,"A single container out of ""multiple""",Construction,"A fire occurred in a single BESS container and was extinguished 1 day later. The Thurrock site was still under construction at the time. Firefighters relied on thermal imaging cameras and drones to monitor temperatures and manage the fire, and a water curtain was used to prevent propagation. ",Energy Storage News,[https://www.essex-fire.gov.uk/incidents/firefighters-respond-battery-storage-site-fire-east-tilbury-2025-02-19-15-51 Essex County Fire and Rescue Service]<br>[https://stateraenergy.co.uk/projects/thurrock-storage Statera Energy],,,,,https://www.essex-fire.gov.uk/incidents/2025/02/19/thurrock-bess-fire-east-tilbury/,https://www.stateraenergy.co.uk/news/2025/02/statement-on-thurrock-bess-fire/,https://www.energy-storage.news/fire-at-statera-bess-project-in-england-brought-under-control/
"Scotland, Aberdeenshire, Rothienorman",,,,,,,,21/02/2025,,,,,A fire occured at a BESS facility. The fire was extinguished and firefighters left 4 hours after arrival. ,The Press and Journal,,,,,,,,
